iter	Passed	Remaining
213	715	2626
214	717	2620
215	732	2657
216	733	2645
217	734	2635
218	735	2622
219	736	2611
220	852	3006
221	866	3037
222	867	3024
223	869	3012
224	872	3005
225	873	2992
226	874	2979
227	875	2965
228	876	2952
229	878	2942
230	879	2929
231	880	2915
232	884	2910
233	885	2899
234	886	2886
235	887	2873
236	888	2861
237	889	2849
238	890	2836
239	891	2823
240	892	2810
241	893	2797
242	894	2785
243	895	2774
244	896	2762
245	897	2750
246	898	2737
247	898	2725
248	899	2712
249	900	2700
250	901	2690
251	902	2679
252	903	2667
253	904	2655
254	904	2643
255	905	2631
256	906	2620
257	907	2610
258	908	2600
259	909	2589
260	910	2578
261	911	2567
262	912	2556
263	913	2546
264	914	2536
265	915	2526
266	916	2515
267	917	2505
268	918	2495
269	919	2485
270	920	2476
271	921	2466
272	922	2456
273	923	2446
274	924	2436
275	925	2427
276	927	2420
277	928	2411
278	929	2402
279	930	2392
280	931	2383
281	932	2375
282	933	2366
283	934	2356
284	935	2347
285	936	2337
286	937	2328
287	938	2320
288	939	2312
289	941	2304
290	942	2295
291	943	2287
292	944	2279
293	946	2272
294	947	2263
295	948	2255
296	949	2246
297	949	2237
298	951	2230
299	952	2222
300	953	2214
301	954	2206
302	956	2199
303	957	2191
304	958	2184
305	959	2176
306	960	2168
307	961	2160
308	962	2152
309	963	2144
310	965	2138
311	966	2130
312	967	2123
313	968	2115
314	969	2107
315	970	2101
316	972	2094
317	972	2086
318	973	2079
319	974	2071
320	976	2064
321	977	2058
322	978	2051
323	979	2043
324	980	2036
325	981	2029
326	983	2024
327	985	2018
328	986	2011
329	987	2004
330	987	1996
331	989	1990
332	990	1984
333	991	1977
334	992	1970
335	993	1963
336	995	1957
337	996	1951
338	997	1945
339	998	1938
340	999	1931
341	1000	1924
342	1002	1919
343	1003	1914
344	1004	1907
345	1005	1900
346	1006	1894
347	1007	1888
348	1009	1882
349	1010	1876
350	1011	1870
351	1012	1864
352	1013	1858
353	1015	1853
354	1016	1847
355	1017	1841
356	1019	1835
357	1021	1831
358	1022	1826
359	1023	1820
360	1024	1813
361	1025	1807
362	1027	1802
363	1029	1798
364	1030	1793
365	1031	1787
366	1033	1782
367	1035	1777
368	1036	1772
369	1037	1766
370	1039	1762
371	1041	1758
372	1042	1753
373	1044	1747
374	1045	1742
375	1047	1737
376	1048	1732
377	1049	1726
378	1050	1720
379	1050	1714
380	1052	1709
381	1054	1705
382	1055	1700
383	1056	1694
384	1057	1688
385	1058	1684
386	1060	1679
387	1061	1673
388	1062	1668
389	1063	1662
390	1064	1657
391	1066	1654
392	1067	1649
393	1069	1644
394	1071	1640
395	1072	1636
396	1073	1631
397	1075	1626
398	1076	1621
399	1078	1617
400	1079	1613
401	1081	1608
402	1082	1603
403	1083	1598
404	1085	1594
405	1086	1589
406	1087	1584
407	1088	1580
408	1090	1575
409	1092	1571
410	1093	1567
411	1094	1562
412	1097	1560
413	1100	1557
414	1102	1553
415	1103	1549
416	1105	1545
417	1107	1541
418	1109	1538
419	1111	1534
420	1112	1530
421	1114	1526
422	1116	1523
423	1118	1519
424	1119	1514
425	1121	1511
426	1123	1507
427	1124	1503
428	1126	1499
429	1128	1495
430	1129	1491
431	1131	1487
432	1133	1484
433	1135	1480
434	1136	1476
435	1138	1472
436	1141	1470
437	1143	1466
438	1144	1462
439	1146	1459
440	1148	1455
441	1150	1452
442	1152	1448
443	1154	1445
444	1156	1442
445	1157	1438
446	1160	1435
447	1161	1431
448	1163	1428
449	1166	1425
450	1167	1421
451	1169	1417
452	1171	1414
453	1173	1411
454	1175	1407
455	1177	1404
456	1180	1402
457	1181	1398
458	1184	1395
459	1186	1392
460	1187	1388
461	1189	1385
462	1192	1382
463	1193	1378
464	1195	1375
465	1197	1372
466	1200	1370
467	1202	1367
468	1204	1363
469	1206	1360
470	1207	1356
471	1209	1353
472	1212	1350
473	1214	1347
474	1216	1344
475	1218	1341
476	1220	1338
477	1222	1335
478	1225	1332
479	1227	1329
480	1229	1326
481	1230	1322
482	1232	1318
483	1233	1315
484	1235	1312
485	1237	1309
486	1240	1306
487	1241	1303
488	1243	1299
489	1245	1296
490	1246	1292
491	1248	1288
492	1249	1285
493	1251	1281
494	1253	1278
495	1255	1275
496	1257	1272
497	1258	1268
498	1260	1265
499	1261	1261
500	1262	1257
501	1264	1254
502	1266	1251
503	1268	1247
504	1269	1244
505	1271	1240
506	1272	1237
507	1274	1234
508	1276	1231
509	1278	1228
510	1279	1224
511	1281	1221
512	1282	1217
513	1284	1214
514	1285	1210
515	1287	1207
516	1288	1204
517	1290	1200
518	1291	1196
519	1292	1193
520	1294	1190
521	1296	1187
522	1297	1183
523	1299	1180
524	1300	1176
525	1302	1173
526	1303	1169
527	1304	1166
528	1306	1162
529	1309	1160
530	1310	1157
531	1312	1154
532	1313	1151
533	1315	1147
534	1316	1144
535	1317	1140
536	1319	1137
537	1320	1134
538	1322	1131
539	1324	1128
540	1325	1124
541	1327	1121
542	1328	1118
543	1330	1114
544	1331	1111
545	1333	1108
546	1334	1105
547	1336	1102
548	1338	1099
549	1340	1097
550	1342	1093
551	1343	1090
552	1345	1087
553	1347	1084
554	1348	1081
555	1350	1078
556	1352	1075
557	1354	1072
558	1355	1069
559	1357	1066
560	1360	1064
561	1362	1061
562	1363	1058
563	1365	1055
564	1367	1052
565	1368	1049
566	1370	1046
567	1372	1043
568	1373	1040
569	1375	1037
570	1377	1034
571	1378	1031
572	1380	1028
573	1382	1026
574	1384	1023
575	1386	1020
576	1387	1017
577	1389	1014
578	1391	1011
579	1392	1008
580	1394	1005
581	1395	1002
582	1397	999
583	1398	996
584	1400	993
585	1401	990
586	1403	987
587	1404	984
588	1406	981
589	1407	978
590	1409	975
591	1410	972
592	1412	969
593	1413	966
594	1415	963
595	1417	960
596	1418	957
597	1420	954
598	1421	951
599	1422	948
600	1424	945
601	1425	942
602	1427	939
603	1428	936
604	1429	933
605	1431	930
606	1432	927
607	1434	924
608	1435	921
609	1437	918
610	1438	915
611	1439	912
612	1441	909
613	1442	906
614	1443	903
615	1444	900
616	1445	897
617	1447	894
618	1448	891
619	1449	888
620	1450	885
621	1452	882
622	1454	879
623	1455	876
624	1456	873
625	1457	870
626	1458	867
627	1460	864
628	1461	862
629	1463	859
630	1464	856
631	1465	853
632	1466	850
633	1468	847
634	1469	844
635	1470	841
636	1472	838
637	1473	836
638	1475	833
639	1477	831
640	1479	828
641	1481	826
642	1483	823
643	1485	821
644	1488	819
645	1491	817
646	1493	814
647	1498	813
648	1503	813
649	1511	813
650	1520	815
651	1529	816
652	1538	817
653	1548	819
654	1558	820
655	1560	818
656	1562	815
657	1563	812
658	1564	809
659	1565	806
660	1566	803
661	1567	800
662	1568	797
663	1569	794
664	1570	791
665	1571	788
666	1572	784
667	1573	781
668	1574	779
669	1575	776
670	1576	773
671	1577	769
672	1578	766
673	1579	763
674	1580	761
675	1581	758
676	1582	754
677	1583	751
678	1584	748
679	1584	745
680	1585	742
681	1586	739
682	1587	736
683	1588	733
684	1589	730
685	1590	727
686	1590	724
687	1591	721
688	1593	719
689	1593	716
690	1594	713
691	1595	710
692	1595	707
693	1596	703
694	1597	700
695	1598	698
696	1599	695
697	1600	692
698	1601	689
699	1601	686
700	1602	683
701	1603	680
702	1603	677
703	1604	674
704	1605	671
705	1606	669
706	1607	666
707	1607	663
708	1608	660
709	1609	657
710	1609	654
711	1610	651
712	1611	648
713	1612	645
714	1613	643
715	1613	640
716	1614	637
717	1615	634
718	1615	631
719	1616	628
720	1617	625
721	1618	623
722	1619	620
723	1620	617
724	1620	614
725	1621	611
726	1622	609
727	1622	606
728	1623	603
729	1624	600
730	1625	598
731	1626	595
732	1627	592
733	1627	589
734	1628	587
735	1628	584
736	1629	581
737	1630	578
738	1631	576
739	1632	573
740	1633	570
741	1633	568
742	1634	565
743	1634	562
744	1635	559
745	1636	557
746	1637	554
747	1638	551
748	1638	549
749	1639	546
750	1640	543
751	1640	541
752	1641	538
753	1642	535
754	1643	533
755	1644	530
756	1644	528
757	1645	525
758	1646	522
759	1647	520
760	1647	517
761	1648	514
762	1649	512
763	1650	509
764	1651	507
765	1651	504
766	1652	502
767	1653	499
768	1653	496
769	1655	494
770	1656	491
771	1657	489
772	1657	486
773	1658	484
774	1659	481
775	1659	479
776	1660	476
777	1661	474
778	1662	471
779	1662	468
780	1663	466
781	1664	463
782	1664	461
783	1665	458
784	1666	456
785	1666	453
786	1667	451
787	1668	448
788	1669	446
789	1669	443
790	1670	441
791	1671	438
792	1671	436
793	1672	433
794	1673	431
795	1674	429
796	1675	426
797	1676	424
798	1677	421
799	1677	419
800	1678	416
801	1679	414
802	1679	412
803	1681	409
804	1681	407
805	1682	405
806	1683	402
807	1684	400
808	1684	397
809	1685	395
810	1686	392
811	1687	390
812	1688	388
813	1688	385
814	1689	383
815	1690	381
816	1691	378
817	1691	376
818	1692	374
819	1693	371
820	1694	369
821	1695	367
822	1696	364
823	1696	362
824	1697	360
825	1698	357
826	1699	355
827	1700	353
828	1700	350
829	1701	348
830	1702	346
831	1702	343
832	1703	341
833	1704	339
834	1704	336
835	1705	334
836	1706	332
837	1707	330
838	1707	327
839	1708	325
840	1709	323
841	1710	320
842	1711	318
843	1712	316
844	1713	314
845	1713	311
846	1714	309
847	1715	307
848	1716	305
849	1716	302
850	1717	300
851	1718	298
852	1719	296
853	1720	294
854	1720	291
855	1721	289
856	1722	287
857	1723	285
858	1724	283
859	1725	280
860	1726	278
861	1726	276
862	1727	274
863	1728	272
864	1728	269
865	1729	267
866	1730	265
867	1731	263
868	1731	261
869	1732	258
870	1733	256
871	1734	254
872	1734	252
873	1735	250
874	1736	248
875	1737	245
876	1738	243
877	1739	241
878	1739	239
879	1740	237
880	1741	235
881	1742	233
882	1742	230
883	1743	228
884	1744	226
885	1745	224
886	1746	222
887	1746	220
888	1747	218
889	1748	216
890	1748	213
891	1749	211
892	1750	209
893	1751	207
894	1752	205
895	1753	203
896	1753	201
897	1754	199
898	1755	197
899	1755	195
900	1756	193
901	1757	190
902	1758	188
903	1758	186
904	1759	184
905	1760	182
906	1760	180
907	1761	178
908	1762	176
909	1763	174
910	1764	172
911	1765	170
912	1765	168
913	1766	166
914	1767	164
915	1767	162
916	1768	160
917	1769	158
918	1770	156
919	1771	154
920	1771	151
921	1772	149
922	1773	147
923	1773	145
924	1774	143
925	1775	141
926	1776	139
927	1776	137
928	1777	135
929	1778	133
930	1779	131
931	1779	129
932	1780	127
933	1781	125
934	1782	123
935	1783	121
936	1784	119
937	1784	117
938	1785	116
939	1786	114
940	1787	112
941	1788	110
942	1789	108
943	1789	106
944	1790	104
945	1790	102
946	1791	100
947	1792	98
948	1792	96
949	1793	94
950	1794	92
951	1795	90
952	1796	88
953	1797	86
954	1798	84
955	1799	82
956	1799	80
957	1801	78
958	1801	77
959	1802	75
960	1803	73
961	1803	71
962	1804	69
963	1804	67
964	1805	65
965	1806	63
966	1807	61
967	1808	59
968	1808	57
969	1809	55
970	1810	54
971	1810	52
972	1811	50
973	1812	48
974	1813	46
975	1814	44
976	1814	42
977	1815	40
978	1816	38
979	1816	37
980	1817	35
981	1818	33
982	1818	31
983	1819	29
984	1820	27
985	1821	25
986	1821	23
987	1822	22
988	1823	20
989	1823	18
990	1824	16
991	1825	14
992	1826	12
993	1827	11
994	1827	9
995	1828	7
996	1828	5
997	1829	3
998	1830	1
999	1830	0
